M	S	R	C	V	1
M	S	R	C	V	1
M	S	R	C	V	1
M	S	R	C	V	1
M	S	R	C	V	1
M	S	R	C	V	1
M	S	R	C	V	1
M	S	R	C	V	1
M	S	R	C	V	1
M	S	R	C	V	1
M	S	R	C	V	1
1000	1e-05	10	0.22242	0.12311	0.27143	0.27619
1000	1e-05	100	0.22694	0.07564	0.20952	0.21905
1000	0.001	10	0.22877	0.062614	0.2	0.20952
1000	0.001	100	0.22631	0.08566	0.21905	0.22381
1000	0.1	10	0.23002	0.11272	0.24286	0.25238
1000	0.1	100	0.24162	0.060635	0.17143	0.17619
1000	10	10	0.23469	0.074295	0.18095	0.18571
1000	10	100	0.2368	0.073629	0.18095	0.18571
1000	1000	10	0.22131	0.054831	0.19048	0.2
1000	1000	100	0.23513	0.07492	0.19048	0.19048
1000	1e+05	10	0.21528	0.07069	0.21905	0.22857
1000	1e+05	100	0.23515	0.076324	0.18095	0.18571
1e+05	1e-05	10	0.20843	0.10726	0.25238	0.27619
1e+05	1e-05	100	0.20778	0.10134	0.22381	0.23333
1e+05	0.001	10	0.20547	0.10797	0.26667	0.27619
1e+05	0.001	100	0.23557	0.093641	0.20952	0.21905
1e+05	0.1	10	0.42082	0.4327	0.52381	0.52381
1e+05	0.1	100	0.30722	0.28366	0.40952	0.41429
1e+05	10	10	0.32569	0.3112	0.42857	0.46667
1e+05	10	100	0.42408	0.43101	0.58095	0.58095
1e+05	1000	10	0.37632	0.39402	0.51905	0.52857
1e+05	1000	100	0.37762	0.36839	0.49048	0.50476
1e+05	1e+05	10	0.37064	0.39376	0.51429	0.5381
1e+05	1e+05	100	0.42942	0.43518	0.57143	0.58095
W	i	k	i	p	e	d	i	a	A	r	t	i	c	l	e	s
1e-05	1e-05	10	0.13183	0.058352	0.18759	0.20202
1e-05	1e-05	100	0.15301	0.056506	0.19192	0.20635
1e-05	0.001	10	0.12992	0.064299	0.20058	0.21789
1e-05	0.001	100	0.14057	0.056507	0.18615	0.20779
1e-05	0.1	10	0.3892	0.41599	0.44589	0.50505
1e-05	0.1	100	0.13293	0.059238	0.20202	0.20924
1e-05	10	10	0.41692	0.42706	0.53391	0.557
1e-05	10	100	0.13126	0.060551	0.19481	0.20635
1e-05	1000	10	0.4176	0.42956	0.5368	0.55988
1e-05	1000	100	0.13508	0.064865	0.19913	0.21356
1e-05	1e+05	10	0.39679	0.41604	0.52381	0.5469
1e-05	1e+05	100	0.13023	0.060237	0.19048	0.20779
0.001	1e-05	10	0.15233	0.061774	0.20346	0.21789
0.001	1e-05	100	0.19129	0.053814	0.17893	0.18182
0.001	0.001	10	0.13653	0.057334	0.1847	0.21356
0.001	0.001	100	0.19227	0.065775	0.17605	0.1847
0.001	0.1	10	0.33912	0.34887	0.46176	0.48341
0.001	0.1	100	0.16115	0.053772	0.17749	0.20202
0.001	10	10	0.31685	0.33716	0.42857	0.47619
0.001	10	100	0.16021	0.065767	0.19048	0.20635
0.001	1000	10	0.32774	0.33936	0.44444	0.46753
0.001	1000	100	0.14977	0.076683	0.20058	0.22222
0.001	1e+05	10	0.3333	0.34333	0.43867	0.46753
0.001	1e+05	100	0.14339	0.073673	0.21068	0.22222
0.1	1e-05	10	0.1938	0.036296	0.14863	0.15584
0.1	1e-05	100	0.19265	0.042711	0.15152	0.15873
0.1	0.001	10	0.19351	0.035365	0.15584	0.16017
0.1	0.001	100	0.1938	0.031068	0.14863	0.15296
0.1	0.1	10	0.17749	0.073087	0.1847	0.19481
0.1	0.1	100	0.1938	0.043754	0.15873	0.16162
0.1	10	10	0.17913	0.07308	0.18326	0.19913
0.1	10	100	0.19328	0.041494	0.15729	0.16306
0.1	1000	10	0.18531	0.058604	0.18182	0.19048
0.1	1000	100	0.19322	0.034431	0.1544	0.16162
0.1	1e+05	10	0.18821	0.074262	0.1847	0.19336
0.1	1e+05	100	0.1935	0.032956	0.1544	0.16017
10	1e-05	10	0.19208	0.031428	0.15296	0.15729
10	1e-05	100	0.1907	0.055437	0.15584	0.16306
10	0.001	10	0.19083	0.036234	0.15873	0.16306
10	0.001	100	0.19478	0.036592	0.16017	0.16306
10	0.1	10	0.19371	0.041631	0.15584	0.16306
10	0.1	100	0.19188	0.04049	0.16162	0.16595
10	10	10	0.19237	0.044931	0.14719	0.15729
10	10	100	0.19354	0.033615	0.15729	0.16162
10	1000	10	0.19269	0.043024	0.14719	0.15729
10	1000	100	0.19231	0.038241	0.15729	0.16306
10	1e+05	10	0.1926	0.040918	0.14863	0.15729
10	1e+05	100	0.19411	0.032064	0.15729	0.16162
1000	1e-05	10	0.17432	0.028871	0.15152	0.16162
1000	1e-05	100	0.19183	0.028549	0.1544	0.15873
1000	0.001	10	0.19469	0.039836	0.16162	0.16739
1000	0.001	100	0.18058	0.025373	0.14863	0.15296
1000	0.1	10	0.19233	0.033003	0.15729	0.16017
1000	0.1	100	0.15965	0.021793	0.14574	0.15873
1000	10	10	0.18799	0.024649	0.1443	0.15584
1000	10	100	0.1841	0.03295	0.1645	0.17172
1000	1000	10	0.19479	0.02784	0.14574	0.1544
1000	1000	100	0.18571	0.033059	0.15729	0.16306
1000	1e+05	10	0.18417	0.028244	0.14719	0.15729
1000	1e+05	100	0.18935	0.033766	0.15729	0.1645
1e+05	1e-05	10	0.17683	0.023032	0.16162	0.16595
1e+05	1e-05	100	0.18785	0.030355	0.15584	0.16017
1e+05	0.001	10	0.19669	0.028759	0.16017	0.16306
1e+05	0.001	100	0.18712	0.030909	0.1645	0.16883
1e+05	0.1	10	0.12912	0.065702	0.20491	0.22799
1e+05	0.1	100	0.12483	0.063616	0.18326	0.20924
1e+05	10	10	0.13514	0.07169	0.19336	0.22222
1e+05	10	100	0.13213	0.060665	0.16883	0.19481
1e+05	1000	10	0.13433	0.068276	0.18903	0.21356
1e+05	1000	100	0.13177	0.063222	0.18038	0.20924
1e+05	1e+05	10	0.14012	0.072331	0.19769	0.21645
1e+05	1e+05	100	0.13236	0.060298	0.18903	0.20635
C	a	l	t	e	c	h	1	0	1	-	7
1e-05	1e-05	10	0.46959	0.36684	0.50475	0.80122
1e-05	1e-05	100	0.4978	0.36887	0.53324	0.79986
1e-05	0.001	10	0.62101	0.43475	0.64383	0.79172
1e-05	0.001	100	0.5218	0.38607	0.53596	0.80868
1e-05	0.1	10	0.55502	0.49739	0.5346	0.84193
1e-05	0.1	100	0.51201	0.39257	0.50814	0.80801
1e-05	10	10	0.57803	0.48831	0.57734	0.82904
1e-05	10	100	0.51098	0.38684	0.50814	0.80461
1e-05	1000	10	0.54517	0.47018	0.56852	0.82157
C	a	l	t	e	c	h	1	0	1	-	2	0
1e-05	1e-05	10	0.33653	0.45722	0.39019	0.65423
C	a	l	t	e	c	h	1	0	1	-	2	0
C	a	l	t	e	c	h	1	0	1	-	2	0
C	a	l	t	e	c	h	1	0	1	-	2	0
1e-05	0.001	10	0.33255	0.46494	0.37552	0.67435	99281
